sku,warehouse,on_hand,reserved,lead_time_days,reorder_point,available,wh_share,demand_7d,demand_14d,demand_30d,demand_14d_weighted,priority_mode,unit_cost,holding_cost_per_day,stockout_penalty,supplier_moq,supplier_pack,max_inbound_units,service_level_target,transfer_cost_per_unit,local_demand_14d,days_of_cover,missing_cost,missing_constraint
SKU-100,WH-A,120,15,5,40,105,0.8076923076923077,75,155,320,177.5,high,12.5,0.02,8.0,20,10,500,0.95,1.2,143.3653846153846,10.253521126760564,False,False
SKU-100,WH-B,35,10,7,30,25,0.19230769230769232,75,155,320,177.5,high,12.5,0.02,8.0,20,10,300,0.9,1.5,34.13461538461539,10.253521126760562,False,False
SKU-200,WH-A,80,20,4,50,60,0.8571428571428571,75,150,305,167.5,high,22.0,0.04,15.0,10,5,500,0.95,1.2,143.57142857142856,5.850746268656717,False,False
SKU-200,WH-B,12,2,6,25,10,0.14285714285714285,75,150,305,167.5,high,22.0,0.04,15.0,10,5,300,0.9,1.5,23.928571428571427,5.850746268656716,False,False
SKU-300,WH-A,200,40,3,60,160,0.7619047619047619,110,225,450,225.0,medium,8.0,0.015,5.0,30,15,500,0.95,1.2,171.42857142857142,13.066666666666668,False,False
SKU-300,WH-B,55,5,8,40,50,0.23809523809523808,110,225,450,225.0,medium,8.0,0.015,5.0,30,15,300,0.9,1.5,53.57142857142857,13.066666666666666,False,False
SKU-400,WH-A,18,8,10,35,10,0.5555555555555556,40,90,195,112.5,high,45.0,0.08,30.0,5,5,500,0.95,1.2,62.5,2.2399999999999998,False,False
SKU-400,WH-B,9,1,9,20,8,0.4444444444444444,40,90,195,112.5,high,45.0,0.08,30.0,5,5,300,0.9,1.5,50.0,2.2399999999999998,False,False
SKU-500,WH-A,150,25,5,70,125,0.7225433526011561,95,195,400,177.5,medium,15.5,0.03,10.0,20,10,500,0.95,1.2,128.25144508670522,13.64507042253521,False,False
SKU-500,WH-B,60,12,6,45,48,0.2774566473988439,95,195,400,177.5,medium,15.5,0.03,10.0,20,10,300,0.9,1.5,49.24855491329479,13.645070422535214,False,False
